,Roll No.,Physics,Chemistry,Maths,Computer
0,1,56.0,57.0,58.0,59.0
1,2,23.0,24.0,25.0,26.0
2,3,89.0,25.0,26.0,27.0
3,4,45.0,26.0,27.0,28.0
4,5,23.0,27.0,28.0,29.0
5,6,90.0,13.0,29.0,30.0
6,7,12.0,13.0,14.0,15.0
7,8,78.0,14.0,15.0,16.0
8,9,45.0,15.0,16.0,17.0
9,10,45.0,16.0,17.0,18.0
10,11,88.0,17.0,18.0,19.0
11,12,88.0,23.0,19.0,20.0
12,13,22.0,23.0,24.0,25.0
13,14,90.0,43.0,43.0,42.0
14,15,44.0,43.0,43.0,43.0
15,16,44.0,44.0,44.0,44.0
16,17,45.0,45.0,45.0,45.0
17,18,46.0,46.0,46.0,46.0
18,19,47.0,47.0,47.0,47.0
19,20,48.0,48.0,48.0,48.0
20,21,49.0,49.0,49.0,49.0
21,22,50.0,50.0,50.0,50.0
22,23,51.0,51.0,51.0,51.0
23,24,52.0,52.0,52.0,52.0
24,25,53.0,33.0,33.0,53.0
25,26,54.0,33.0,33.0,54.0
26,27,55.0,34.0,34.0,55.0
27,28,56.0,35.0,35.0,66.0
28,29,57.0,36.0,36.0,66.0
29,30,58.0,37.0,37.0,43.0
